age,fare,survived,cluster
Middle-aged,71.2833,1,0
Middle-aged,53.1,1,1
Old,51.8625,0,1
Young,16.7,1,1
Old,26.55,1,1
Middle-aged,13.0,1,1
Middle-aged,35.5,1,1
Young,263.0,0,2
Middle-aged,76.7292,1,0
Old,61.9792,0,1
Middle-aged,83.475,0,0
Middle-aged,10.5,1,1
Young,7.65,0,1
Young,263.0,1,2
Middle-aged,61.175,0,1
Old,34.6542,0,1
Young,63.3583,1,1
Young,77.2875,0,0
Middle-aged,52.0,0,1
Young,247.5208,0,2
Middle-aged,13.0,1,1
Old,77.2875,0,0
Young,26.2833,1,1
Middle-aged,53.1,0,1
Young,79.2,0,0
Middle-aged,26.0,0,1
Young,66.6,1,0
Old,33.5,0,1
Old,30.6958,0,1
Middle-aged,28.7125,0,1
Young,39.0,1,1
Young,26.0,1,1
Middle-aged,27.7208,1,1
Old,146.5208,1,0
Young,10.4625,0,1
Middle-aged,31.0,1,1
Middle-aged,113.275,1,0
Middle-aged,76.2917,1,0
Middle-aged,90.0,1,0
Middle-aged,83.475,1,0
Middle-aged,90.0,0,0
Middle-aged,52.5542,1,1
Middle-aged,10.4625,0,1
Old,26.55,0,1
Middle-aged,86.5,1,0
Middle-aged,79.65,0,0
Middle-aged,0.0,0,1
Old,153.4625,1,0
Middle-aged,135.6333,1,0
Middle-aged,29.7,0,1
Old,77.9583,1,0
Young,91.0792,1,0
Middle-aged,12.875,0,1
Young,151.55,0,0
Middle-aged,247.5208,1,2
Young,151.55,1,0
Young,108.9,1,0
Middle-aged,56.9292,1,1
Young,83.1583,1,0
Young,262.375,1,2
Middle-aged,164.8667,1,0
Middle-aged,134.5,1,0
Middle-aged,135.6333,1,0
Middle-aged,13.0,1,1
Young,57.9792,1,1
Middle-aged,28.5,0,1
Middle-aged,153.4625,0,0
Middle-aged,66.6,0,0
Middle-aged,134.5,1,0
Middle-aged,35.5,0,1
Young,26.0,1,1
Young,263.0,1,2
Young,13.0,1,1
Young,55.0,1,1
Old,75.25,1,0
Young,69.3,1,0
Young,55.4417,1,1
Young,211.5,0,2
Middle-aged,120.0,1,0
Young,113.275,1,0
Young,16.7,1,1
Middle-aged,90.0,1,0
Middle-aged,8.05,1,1
Middle-aged,26.55,1,1
Middle-aged,55.9,0,1
Young,120.0,1,0
Old,263.0,0,2
Young,81.8583,1,0
Middle-aged,30.5,1,1
Middle-aged,27.75,0,1
Middle-aged,89.1042,1,0
Old,26.55,0,1
Middle-aged,26.55,1,1
Middle-aged,38.5,0,1
Young,13.7917,1,1
Young,91.0792,1,0
Middle-aged,90.0,1,0
Old,29.7,0,1
Old,30.5,0,1
Old,78.2667,1,0
Young,151.55,0,0
Young,86.5,1,0
Young,108.9,0,0
Middle-aged,26.2875,1,1
Middle-aged,34.0208,0,1
Middle-aged,10.5,1,1
Middle-aged,93.5,1,0
Middle-aged,57.9792,1,1
Middle-aged,26.55,0,1
Young,49.5,1,1
Middle-aged,71.0,1,0
Middle-aged,106.425,0,0
Young,110.8833,1,0
Middle-aged,39.6,1,1
Middle-aged,79.65,1,0
Middle-aged,51.4792,1,1
Middle-aged,26.3875,1,1
Middle-aged,55.9,1,1
Middle-aged,110.8833,1,0
Middle-aged,40.125,0,1
Young,79.65,1,0
Old,79.2,1,0
Middle-aged,78.2667,1,0
Middle-aged,56.9292,1,1
Middle-aged,153.4625,1,0
Young,39.0,1,1
Middle-aged,52.5542,1,1
Old,32.3208,0,1
Young,77.9583,1,0
Old,30.0,1,1
Middle-aged,30.5,1,1
Young,69.3,1,0
Middle-aged,76.7292,1,0
Old,35.5,1,1
Old,113.275,0,0
Middle-aged,25.5875,0,1
Middle-aged,52.0,0,1
Middle-aged,512.3292,1,2
Young,76.7292,1,0
Young,211.3375,1,2
Middle-aged,57.0,1,1
Middle-aged,110.8833,0,0
Middle-aged,7.65,0,1
Young,227.525,1,2
Middle-aged,26.2875,1,1
Middle-aged,26.2875,1,1
Young,49.5042,1,1
Middle-aged,52.0,1,1
Young,7.65,0,1
Middle-aged,227.525,1,2
Young,10.5,1,1
Young,53.1,1,1
Middle-aged,211.3375,1,2
Middle-aged,512.3292,1,2
Middle-aged,78.85,0,0
Young,262.375,1,2
Old,71.0,0,0
Young,53.1,0,1
Young,12.475,1,1
Middle-aged,86.5,1,0
Middle-aged,120.0,1,0
Middle-aged,77.9583,1,0
Old,10.5,0,1
Middle-aged,211.3375,1,2
Young,57.0,1,1
Middle-aged,30.0,0,1
Middle-aged,79.2,0,0
Middle-aged,25.9292,1,1
Young,120.0,1,0
Middle-aged,0.0,0,1
Middle-aged,53.1,1,1
Middle-aged,93.5,1,0
Young,12.475,1,1
Middle-aged,83.1583,1,0
Young,39.4,1,1
Middle-aged,26.55,1,1
Middle-aged,25.9292,1,1
Middle-aged,50.4958,0,1
Middle-aged,52.5542,1,1
Middle-aged,5.0,0,1
Old,83.1583,1,0
Young,30.0,1,1
Young,30.0,1,1
